file;word;frequency
105-gregg-nh.txt;doc;1666
105-gregg-nh.txt;docno;1666
105-gregg-nh.txt;gregg;1671
105-gregg-nh.txt;nh;855
105-gregg-nh.txt;text;1667
105-gregg-nh.txt;mr;1358
105-gregg-nh.txt;president;686
105-gregg-nh.txt;november;1
105-gregg-nh.txt;th;16
105-gregg-nh.txt;celebrating;1
105-gregg-nh.txt;anniversary;4
105-gregg-nh.txt;birth;3
105-gregg-nh.txt;credit;32
105-gregg-nh.txt;unions;11
105-gregg-nh.txt;st;17
105-gregg-nh.txt;mary;18
105-gregg-nh.txt;s;554
105-gregg-nh.txt;bank;9
105-gregg-nh.txt;manchester;8
105-gregg-nh.txt;new;371
105-gregg-nh.txt;hampshire;110
105-gregg-nh.txt;opened;3
105-gregg-nh.txt;doors;2
105-gregg-nh.txt;true;20
105-gregg-nh.txt;local;170
105-gregg-nh.txt;establishment;5
105-gregg-nh.txt;serving;4
105-gregg-nh.txt;community;74
105-gregg-nh.txt;built;8
105-gregg-nh.txt;formed;2
105-gregg-nh.txt;french;4
105-gregg-nh.txt;canadian;2
105-gregg-nh.txt;immigrant;1
105-gregg-nh.txt;working;102
105-gregg-nh.txt;class;18
105-gregg-nh.txt;families;32
105-gregg-nh.txt;help;53
105-gregg-nh.txt;want;170
105-gregg-nh.txt;congratulate;40
105-gregg-nh.txt;pioneer;1
105-gregg-nh.txt;field;17
105-gregg-nh.txt;continuing;7
105-gregg-nh.txt;grow;7
105-gregg-nh.txt;provide;50
105-gregg-nh.txt;support;165
105-gregg-nh.txt;last;108
105-gregg-nh.txt;years;196
105-gregg-nh.txt;times;21
105-gregg-nh.txt;mergers;1
105-gregg-nh.txt;takeovers;1
105-gregg-nh.txt;designed;20
105-gregg-nh.txt;expand;21
105-gregg-nh.txt;markets;4
105-gregg-nh.txt;beyond;35
105-gregg-nh.txt;boundaries;3
105-gregg-nh.txt;communities;54
105-gregg-nh.txt;always;23
105-gregg-nh.txt;stood;2
105-gregg-nh.txt;roots;1
105-gregg-nh.txt;people;348
105-gregg-nh.txt;exemplifies;1
105-gregg-nh.txt;institution;14
105-gregg-nh.txt;values;3
105-gregg-nh.txt;relationships;1
105-gregg-nh.txt;continues;9
105-gregg-nh.txt;tradition;3
105-gregg-nh.txt;donating;1
105-gregg-nh.txt;causes;9
105-gregg-nh.txt;begun;3
105-gregg-nh.txt;million;170
105-gregg-nh.txt;investment;33
105-gregg-nh.txt;low;29
105-gregg-nh.txt;moderate;6
105-gregg-nh.txt;income;93
105-gregg-nh.txt;purchase;11
105-gregg-nh.txt;rent;1
105-gregg-nh.txt;homes;1
105-gregg-nh.txt;assistance;34
105-gregg-nh.txt;emergency;54
105-gregg-nh.txt;situations;3
105-gregg-nh.txt;wish;46
105-gregg-nh.txt;recognize;37
105-gregg-nh.txt;service;88
105-gregg-nh.txt;west;9
105-gregg-nh.txt;side;79
105-gregg-nh.txt;marking;1
105-gregg-nh.txt;beginning;16
105-gregg-nh.txt;nationwide;2
105-gregg-nh.txt;conference;34
105-gregg-nh.txt;report;29
105-gregg-nh.txt;includes;22
105-gregg-nh.txt;language;96
105-gregg-nh.txt;directs;6
105-gregg-nh.txt;secretary;35
105-gregg-nh.txt;commerce;60
105-gregg-nh.txt;ensure;23
105-gregg-nh.txt;continuation;1
105-gregg-nh.txt;weather;30
105-gregg-nh.txt;coverage;36
105-gregg-nh.txt;williston;6
105-gregg-nh.txt;north;33
105-gregg-nh.txt;dakota;16
105-gregg-nh.txt;caribou;5
105-gregg-nh.txt;maine;13
105-gregg-nh.txt;erie;3
105-gregg-nh.txt;pennsylvania;8
105-gregg-nh.txt;key;12
105-gregg-nh.txt;florida;16
105-gregg-nh.txt;further;17
105-gregg-nh.txt;provides;28
105-gregg-nh.txt;full;43
105-gregg-nh.txt;funding;181
105-gregg-nh.txt;nws;6
105-gregg-nh.txt;continued;9
105-gregg-nh.txt;effective;45
105-gregg-nh.txt;operations;12
105-gregg-nh.txt;offices;9
105-gregg-nh.txt;mentioned;36
105-gregg-nh.txt;tell;28
105-gregg-nh.txt;senator;596
105-gregg-nh.txt;intent;13
